,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
18,0.36948007345199585,0.001149491995401665,0.029289305210113525,0.00012196052713888958,entropy,3,sqrt,50,1234,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7386863884486705,0.7413276985384751,0.7319478689679465,0.7381120112715746,0.7375184918066666,0.0034372279040876114,27
21,0.4124376177787781,0.05052986397256701,0.033317506313323975,0.005118823949149329,entropy,3,log2,50,1234,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7386863884486705,0.7413276985384751,0.7319478689679465,0.7381120112715746,0.7375184918066666,0.0034372279040876114,27
4,0.9328634142875671,0.09381942522782809,0.06116187572479248,0.005490221312919557,gini,3,log2,100,1234,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7397429124845923,0.7362211656981863,0.7298344487495597,0.7391687213807678,0.7362418120782765,0.003933167718878471,29
1,0.774253249168396,0.044601134071141794,0.05761927366256714,0.002923721054030085,gini,3,sqrt,100,1234,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7397429124845923,0.7362211656981863,0.7298344487495597,0.7391687213807678,0.7362418120782765,0.003933167718878471,29
22,0.7319871187210083,0.0043973331865881085,0.05601310729980469,0.0002838226234047798,entropy,3,log2,100,1234,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7409755238598345,0.7365733403768269,0.7298344487495597,0.7375836562169779,0.7362417423007998,0.004042672035389356,31
19,0.7233073115348816,0.0023946184331605637,0.0559651255607605,0.0003169589789987731,entropy,3,sqrt,100,1234,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7409755238598345,0.7365733403768269,0.7298344487495597,0.7375836562169779,0.7362417423007998,0.004042672035389356,31
2,1.519613265991211,0.06361749884983481,0.13158106803894043,0.03605419149387783,gini,3,sqrt,200,1234,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7386863884486705,0.7372776897341081,0.7314195139133498,0.7368791828108489,0.7360656937267444,0.0027652181874017437,33
5,1.6394108533859253,0.05949716502099904,0.11800640821456909,0.007197123210046852,gini,3,log2,200,1234,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7386863884486705,0.7372776897341081,0.7314195139133498,0.7368791828108489,0.7360656937267444,0.0027652181874017437,33
20,1.4528603553771973,0.04081701255249667,0.11314857006072998,0.006081831050284888,entropy,3,sqrt,200,1234,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7376298644127487,0.7362211656981863,0.7312433955618175,0.7359985910531878,0.735273254181485,0.0024092541427562014,35
23,2.4003122448921204,0.4645772467780516,0.1957700252532959,0.055027599718139746,entropy,3,log2,200,1234,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7376298644127487,0.7362211656981863,0.7312433955618175,0.7359985910531878,0.735273254181485,0.0024092541427562014,35
